COMMAND,OPERATOR,ALIAS(S),ARGUMENT(S),PARAMETERS,CATEGORY,DEFAULT,DESCRIPTION,MENU,GUI SHORTCUT,COMMENTS,USE,EXPLANATION,MESSAGE BOX 1,MESSAGE BOX 2,PRESET
:a,|,,$ | $ | $...,$ = symbol float or list,database,clear,define the whole database,no,no,This overwrites all previous database entries.,Use this to define the whole database at once.,Look in the text box popup to see what happens to these messages,:a first message | second message | third message | fourth message, :a 1 2 | 3 4 5 | 6, :e 5 :a -open :v 0 :pr 2
:a,,,$`1 $`2,$`1 = float = term‚ $’2 = symbol float or list,database,clear,define single field of database,no,no,Note that this command will not work as a creation argument. To define a specific term of the database using creation arguments‚ you must use bars ( | ).,Use this to define a single database field.,Look in the text box popup to see what happens to these messages,:a 1 a message, :a 3 another message, :a -open :v 0 :pr 2
:a,-open,,,,database,n/a,open text box to edit database,messages --> x-axis --> edit,no,The text edit tool must be saved (ctrl+s).,Use this tool to edit the database manually.,,:a -open,:a -clear,:a first message | second message | third message | fourth message :v 0 :pr 2
:a,-clear,,,,database,n/a,clear the database,messages --> x-axis --> clear,no,This can’t be undone!,Clear all messages from the database.,,:a -open,:a -clear,:a first message |  second message | third message | fourth message :v 0 :pr 2
:a,-scramble,,{$ $...},$ = float = database term,database,n/a,rearrange the specified fields in the database randomly,no,no,Specify the terms to scramble as arguments‚ or give no arguments to scramble all terms.The rearrangement is random and might turn out the same as before‚ especially with a small number of fields.,This is useful ie. for scrambling a melody.,':a -scramble 1 3 4' rearranges the 1st‚ 3rd and 4th field numbers. Ie. the 1st field might be moved to the 4th‚ the 4th to the 3rd‚ etc. If no arguments are specified‚ all fields are scrambled.,:a -scramble,:a -scramble 1 3 4,:a one | two | three | four :a -open :v 0 :pr 2
:a,+,+ - * or /,$’1 {$’2} {$’3},$’1 = value‚ $’2 = term‚ $’3 = field (floats),database,n/a,perform arithmetic on a database term,no,double (tripple...) click on symbol atom and drag up / down,If the term is unspecified‚ it will be interpreted as the current term. If the line number is unspecified‚ it will be interpreted as the current selected line (ie the one that flashes black in the toggle array). Note that only float terms are counted—symbols are left unaffected.,Use this to modify float terms in the database.,':a * 3 4 2' multiplies by 3 the 4th term of the 2nd field. ‘:a + 1’ adds 1 to the first term of whichever database field is selected. Use the arrow keys to change this selection.,:a + 1,:a * 3 4 2, :a 10 20 30 | 40 50 60 70 :a -open :v 0 :pr 2
:a,*.,,$,$ = float = ID number,database,n/a,read from another context’s database,no,no,This allows you to select another context’s database for plaback instead of this context’s own. Note that it will also clear the :a database.,This is useful because it allows you to store ‘master’ melodies which you can play back in different ways across several different contexts.,The number corresponds to another context’s ID number. Nothing much will happen in this example‚ since no other contexts are open.,:a *. 2,:a *. 3,:v 0
:b,,,,,,,,,,The :a and :b database commands have identical syntax. Everything listed under the :a help boxes applies also to :b.,,,needs some work,,:v 0
:c,,colour color,$,$ = float = PD color value,ID,11,set context colour,ID --> colour,no,The numbers argument is the same as regular PD colors. Positive numbers are presets (1-30 repeating) and negative numbers are RGB values.,Context colour schemes have no effect other than aesthetic.,,:c 15,:c -10300,:v 0
:d,,delay time cycle,$,$ = float = seconds,time,0,set context cycle duration in seconds,no,float atom (top left),Negative time values will reverse the context cycle. Note that the cycle time might also be effected by the coefficient (:k) and random time mode (:E),Set the cycle duration.,,:d 10,:d -2,:d 4 :x 1 2 4 :v 0 :pr 2
:d,m,M minute minutes,$,$ = float = minutes,time,n/a,set context cycle duration in minutes,no,no,Negative time values will reverse the context cycle. Note that the cycle time might also be effected by the coefficient (:k) and random time mode (:E),Use this operator for convenience. Note that it is not saved—it just converts the number to seconds.,,:d m 2,:d m 3,:v 0
:d,h,H hour hours,$,$ = float = seconds,time,n/a,set context cycle duration in hours,no,no,Negative time values will reverse the context cycle. Note that the cycle time might also be effected by the coefficient (:k) and random time mode (:E),Use this operator for convenience. Note that it is not saved—it just converts the number to seconds.,,:d h 1,:d h 0.5,:v 0
:d,+,+ - * or /,$,$ = float = value,time,n/a,perform arithmetic on cycle duration,no,no,,This can be used to alter timings in a defined way.,,:d - 1, :d * 2,:d 2 :v 0 :pr 2
:e,,,$,$ = float = database field,database,1,define the limit of the :a database,messages --> x-axis --> limit,no,The :a database contains as many fields as there are toggles on the x-axis‚ but not all of them are necessarily read. This setting determines how far along the :a database the x-axis toggles will read. A blank database field will give a bang.,':e 1' (default) means that only the first field is ever read. This means that the context will always send the same message‚ regardless of which toggle fires. If the x-axis contains 9 toggles‚ ':e 8' means that every toggle will deliver its own unique message (the 9th toggle belong to the y-‚ not the x-axis). This is useful for playing melodies or sending complex messages. In the same context‚ ':e 4' will read the first four fields and then repeat the last one for toggles 5-8.,Look at the context symbol atom to see which database entry is accessed. Changing the :e setting will change how many fields are read. (Note that this example starts with the default :e 1).,:e 4,:e 2,:a one | two | three | four :x 1 2 3 4 5 :i 5 1.5 :d 2 :s :v 0 :pr 2
:f,,,$,$ = float = database field,database,1,define the limit of the :b database,messages --> y-axis --> limit,no,This works the same as the ':e' command.,,** probmlem here: the burst message isn’t properly setting the message atom.,:f 4,:f 1,:b one | two | three | four :y 1 2 3 4 :i 5 1.5 :d 2 :L linear :s :v 0 :pr 2
:g,,gui GUI,$,$ = float = state (-1‚ 0‚ 1),general,0,set context GUI,other --> more --> gui off,right click + properties,:g 1 calls the properties menu‚ while :g 0 calls the normal GUI. :g -1 turns the GUI off and deletes/prevents from loading a significant portion of the patch which runs the GUI. The context continues to function as normal but consumes fewer CPU resources‚ a bit like a power saving mode.,Use :g -1 in cases where a context is embedded or when you will have no need to edit its settings manually. Note that this cannot be undone by sending a :g 0 message. If you want to turn the GUI back on‚ you will have to recreate the context without the :g -1 creation argument. (Note further that creation arguments are not live updated inside the object‚ so if you want to return to the GUI in a context whose state has changed‚ you have to save‚ reload‚ and then delete the :g -1 argument.),:g (no argument) will switch between :g 0 and :g 1. :g-1 will turn the GUI off (you’ll have to close and re-open this help patch if you want it back!),:g,:g -1,:v 0 :pr 2
:h,,quantity,$,$ = float = burst toggle number,burst,0,define the quantity of  burst toggles,burst --> quantity --> define,no,:h 0 (default) means ‘all toggles’. :h is overwritten by the random and progression settings (:p and :l) and by the 'which' setting (:o),Use this to determine how many burst toggles will fire at the end of the next context cycle. Note that only selected toggles can fire‚ so ':h5' will set 5 toggles to be fired only if there are five or more open.,Count how many toggles fire each cycle to see the effect of the :h setting,:h 3,:h 1,:i 5 1 :y = 1 2 3 4 :d 1 :s :v 0 :pr 2
:i,,,$ $...,$ = values‚ count = no. of x-axis toggles,toggles,clear,define all of the toggle-floats on the x-axis,no,no,0 is interpreted as blank. This will only work when the arguments are euqal to‚ or one less than‚ the number of toggles on the x-axis. The 'one less than' rule helps to avoid confusion regardling the bottom-right toggle. Note that a decimal place indicates an ID number‚ ie. ‘4.5’ becomes ‘c4’.,Use this to define the whole float array at once.,Note that negative toggle-floats have a special function—see the FAQ entry.,:i 1 2 3 4 5,:i -2 0 -5 0 0,:x 1 2 3 4 5 :v 0 :pr 2
:i,,,$’1 $’2 $’1 $’2...,$’1 = toggle position‚ $’2 = value (floats),toggles,n/a,define toggle-floats individually on the x-axis.,no,double click on a toggle and scroll up or down,A single pair is the most common use‚ but any number of pairs can be specified.  Note that a decimal place indicates an ID number‚ ie. ‘4.5’ becomes ‘c4’.,Use this to define toggle floats individually.,The second example changes the 1st toggle to -4‚ the 2nd toggle to -5‚ and the 3rd toggle to -6. Note that negative toggle-floats have a special function—see the FAQ entry.,:i 2 3,:i 1 -4 2 -5 3 -6,:x 1 2 3 4 5 :i 1 1 1 1 1 :v 0 :pr 2
:i,+ or -,,$’1 $’2,$’1 = value‚ $’2 = toggle number (floats),toggles,n/a,perform arithmetic on toggle-floats individually,no,no,,,‘:i – 4 2’ subtracts 4 from the second toggle-float. Note that negative toggle-floats have a special function and aren’t really negative‚ hece the addition. See the FAQ entry.,:i + 2 3,:i - 4 2,:x 1 2 3 4 5 :i 1 1 1 1 1 :v 0 :pr 2
:i,s,swap,$ $,$ = float = toggle position,toggles,n/a,switch the values of two toggle-floats,no,double click on a toggle and scroll left or right to switch adjascent floats,,Use this to alter a context network (or a melody) in a defined way.,':i s 2 5' switches the float values of the 2nd and 5th toggles.,:i s 1 2,:i s 2 5,:x 1 2 3 4 5 :i 1 2 3 4 5 :v 0 :pr 2
:i,> or <,,$,$ = float = value,toggles,n/a,shift the whole float-array f places to the left / right,no,no,,Use this to offset a pattern of floats.,':i > 1' shifts the toggle array 1 place to the right‚ so ie. '1 2 3 4 5' becomes '5 1 2 3 4'. The middle toggle is off‚ so appears blank.,:i > 1,:i < 2,:x 1 2 4 5 :i 1 2 3 4 5 :v 0 :pr 2
:i,>> or <<,,$,$ = float = value,toggles,n/a,shift the float-array together with the toggle array f places to the left / right,no,no,This is identical to the ':x >> f' command.,This is more useful than >‚ which moves the float array independently of the toggle array. The difference is hard to describe but visually intuitive.,':i << 2' shifts the float and selection arrays 2 places to the left.,:i >> 1,:i << 2,:x 1 2 4 5 :i 1 2 3 4 5 :v 0 :pr 2
:i,x,,$ $ ...,same as :i,toggles,n/a,define toggle floats at the same time as the toggle array,no,double click on a toggle and scroll left or right to switch adjascent floats,This command sets the toggle array (on-off) at the same time as the toggle float values.,This is useful for quickly defining a pattern or array‚ as you don’t have to consider :i values separately from the :x.,compare this to using only the :i command,:i x 2 3,:i x 1 0 3 4,:v 0
:i,-l,,{$} ...,$ = float = value‚ followed by any other :i arguments,toggles,n/a,excepts the last toggle(s) from a :i command,no,no,The -l operator is used in conjunction with other :i commands. It protects the last toggle‚ so that it is not changed by the command. The -l command can take an opotional float argument‚ specifying the number of toggles from the back which should be protected. If no argument is specified‚ the default number is 1.,Use this if you want to rotate or clear toggles while leaving the last one intact (ie. if it is being used for a loop).,Watch the last toggle in this example. It is unaffected by the commands because of the -l operator.,:i -l >>,:i -l 3 clear,:v 0 :i 1 2 3 4 5 :x 1 2 3 5
:i,clear,,,,toggles,n/a,clear toggle float array,no,no,This sets all toggle floats back to 0.,,,:i 1 2 3 4 5,:i clear,:i x 1 3 4 5 :v 0 :pr 2
:i,scramble,,{$ $...},$ = float = toggle float number,toggles,n/a,rearrange the specified toggle floats randomly,no,no,Specify the toggles to scramble as arguments‚ or give no arguments to scramble all toggles. The rearrangement is random and might turn out the same as before‚ especially with a small number of fields.,This is useful ie. for scrambling a melody.,':i scramble 1 3 5’ rearranges the 1st‚ 3rd and 5th terms. ‘:i scramble’ rearranges all terms.,:i scramble 1 3 5,:i scramble,:i x 1 2 3 4 5 :v 0 :pr 2
:j,,,,,,,,,,The :i and :j array commands have identical syntax. Everything listed under the :i help boxes applies also to :j.,,,,,:v 0 :pr 2
:k,,,$,$ = float = value (not zero),time,1,define a multiplier or divider for the delay time,timing --> calculation --> factor,no,This works in conjunction with the coefficient mode‚ :K.,Use this to set a unit other than seconds for the time atom.,,:k 3,:k 1,:x 5 :i 5 1.5 :d 1 :K 1 :s :v 0 :pr 2
:k,,,$ $...,$ = float = time (seconds),time,n/a,store a custom map for map calculation,timing --> calculation --> map list,no,This stores a custom list of cycle time values to be selected by the :d value when :K 4 is on. When :d is 0‚ the first value on the list will be selected. When :d is 2‚ the second value will be selected‚ etc. If the :d value is higher than the number of items on the list then the cycle time value rolls back to :d itself.,Use this if you want custom time mappings that cannot be calcuated.,Load the :k list and turn :K 4 on and you will see that the cycle times correspond to the numbers in the list. Notice that when :d is 5 the cycle time is 5‚ since there are only 4 numbers on the list.,:K 4,:k 4 5 8 9,:v 0 :E 1 :x 5 :i 5 1.5 :d 5 :s :pr 2
:l,,,$,$ = float = percentage,burst,0,randomize the quantity of burst toggles,burst --> quantity --> random,no,This setting works as a percentage. 0 means that the burst quantity (:h) is definitive and 100 means that it is totally random. Number in between describe varying degrees on uncertainty‚ so that the burst quantity will deviate from :h with :l likelihood‚ according to Gaussian distribution. 101 gives even distribution through an ‘urn’ generator. This means that all available numbers will be used once before the urn is reset‚ like pulling numbers out of a bag. The urn can be reset manually using the ‘bump l’ command.,Use this setting to add uncertainty in a context network.,,:l 100,:l 10,:Y 8 :y 1 2 3 4 5 6 7 8 :i 5 1.5 :d .7 :h 2 :s :v 0 :pr 2
:l,-open,,,,burst,n/a,edit random distribution array,burst --> quantity --> edit random,no,This command opens the array which defines the probabilities for the :l setting. Normally you will see a Bell curve here (if :l is greater that 0 and less than 100)‚ but you can draw in a curve to define a new range of probabilities. Unfortunately‚ any changes you make here are unsavable.,Use this to define custom probabilities for the burst quantity.,Open the array and draw in your own curve. You will see the changes reflected in the number of burst toggles that fire.,:l -open,:l 20,:Y 8 :y 1 2 3 4 5 6 7 8 :i 5 1.5 :d .7 :h 2 :s :v 0 :pr 2 :l 30
:m,,advance,$,$ = float = state (0‚ 1),burst,1,determine whether the burst set auto-advances after every cycle,burst --> auto advance,no,This command turns off the auto-advance for burst selection. When it is on‚ a new set of burst toggles is calculated after every context cycles. When off‚ a new set on toggles is not calculated‚ unless a ‘bump’ command is received.,Use this to to hold the current burst selection.,While :m 0 is set‚ the toggle selection won’t advance unless the context receives a ‘bump’ message. When :m 1 is set‚ toggle selection advances each burst cycle.,bump,:m,:Y 8 :y 1 2 3 4 5 6 7 8 :i 5 1.5 :d .7 :h 1 :m 0 :P 1 :s :v 0 :pr 2
